pathway_source,pathway,odds_ratio,p_value
k,Pancreatic secretion,32.084583333333335,0.03223340515413374
w,Wnt signaling and pluripotency,32.084583333333335,0.03223340515413374
k,Amoebiasis,31.766501650165015,0.032547504948636265
k,NF-kappa B signaling pathway,31.454656862745097,0.032861506874950555
k,C-type lectin receptor signaling pathway,31.148867313915858,0.03317541096230045
w,MicroRNAs in cardiomyocyte hypertrophy,31.148867313915858,0.03317541096230045
w,Complement system in neuronal development and plasticity,30.848958333333332,0.033489217239901496
k,HIF-1 signaling pathway,29.982866043613708,0.03443004950624148
w,Macrophage-stimulating protein (MSP) signaling,29.982866043613708,0.03443004950624148
k,Th17 cell differentiation,29.982866043613708,0.03443004950624148
k,Insulin resistance,29.70486111111111,0.03474346483683541
r,Depolymerization of the Nuclear Lamina,29.16401515151515,0.035370002535799555
r,Trafficking of GluR2-containing AMPA receptors,29.16401515151515,0.035370002535799555
k,Serotonergic synapse,28.64248511904762,0.03599614981286036
w,7q11.23 copy number variation syndrome,28.13925438596491,0.03662190690117513
k,Cholinergic synapse,28.13925438596491,0.03662190690117513
k,Glutamatergic synapse,28.13925438596491,0.03662190690117513
k,"Parathyroid hormone synthesis, secretion and action",28.13925438596491,0.03662190690117513
w,Response to elevated platelet cytosolic Ca ions,27.894202898550724,0.03693463919737798
w,Osteoblast differentiation and related diseases,27.416666666666668,0.037559811439452306
k,"Growth hormone synthesis, secretion and action",26.508953168044076,0.03880898733698637
k,Sphingolipid signaling pathway,26.508953168044076,0.03880898733698637
r:w,Beta-catenin independent WNT signaling,6.6513436748962205,0.04115405959923713
r:w,RHO GTPases Activate NADPH Oxidases,24.862403100775193,0.041302671296305535
k,Dopaminergic synapse,24.670833333333334,0.041613944747792474
k,Lysosome,24.670833333333334,0.041613944747792474
k,Vascular smooth muscle contraction,24.670833333333334,0.041613944747792474
r,HSF1 activation,24.296401515151516,0.04223620060751895
k,Osteoclast differentiation,23.933146766169155,0.042858068602758884
k,Yersinia infection,23.580575980392158,0.04347954896520847
w,C-type lectin receptors,23.40815085158151,0.04379014385650574
w,Neuroinflammation and glutamatergic signaling,23.070743405275778,0.0444110432039107
w,NF1 copy number variation syndrome ,23.070743405275778,0.0444110432039107
w,Ectoderm differentiation,22.74290780141844,0.045031555497186695
k,Spinocerebellar ataxia,22.424242424242426,0.04565168096756704
r:w,Signaling by the B Cell Receptor (BCR),6.179032913449817,0.04688933468658279
k,Retrograde endocannabinoid signaling,21.812925170068027,0.04689077236391233
r,Attenuation phase,21.51957494407159,0.04750973875168324
w,Calcium regulation in cardiac cells,21.375833333333333,0.04781907721892326
k,Cell adhesion molecules,20.81953463203463,0.04905546691608641
k,mTOR signaling pathway,20.81953463203463,0.04905546691608641
k,Efferocytosis,20.68494623655914,0.0493643234414537
w,Immunoregulatory interactions between lymphoid and non-lymphoid cells,20.552083333333332,0.049673083664833154
w,Myometrial relaxation and contraction pathways,20.552083333333332,0.049673083664833154
k,Hepatitis C,20.42091295116773,0.049981747615001126
w,Insulin signaling,20.163522012578618,0.05059878681076698
k,cGMP-PKG signaling pathway,20.037239583333335,0.05090716211387645
r,CDC42 GTPase cycle,5.883309458360757,0.05111088191729458
w,EGF/EGFR signaling,19.912525879917183,0.0512154412587977
k,Hepatocellular carcinoma,19.311495983935743,0.05275539561602702
k,Influenza A,18.96794871794872,0.053678216169898145
r,G beta:gamma signalling through CDC42,18.316190476190478,0.055521268754737896
r,VEGFR2 mediated cell proliferation,18.316190476190478,0.055521268754737896
w,Ras signaling,17.51366120218579,0.05797331249842863
k,Kaposi sarcoma-associated herpesvirus infection,16.60405872193437,0.06102977394440321
r,Cell-extracellular matrix interactions,16.266074450084602,0.0622496909280996
w,Orexin receptor pathway,16.18371212121212,0.06255443235181982
r:w,Fc epsilon receptor (FCERI) signaling,5.188109328498615,0.06358864344399652
k,Diabetic cardiomyopathy,15.78407224958949,0.06407671395873842
k,Rap1 signaling pathway,15.25654761904762,0.06620392194383497
k,Chemical carcinogenesis - receptor activation,15.184044233807267,0.06650742964631173
k,Lipid and atherosclerosis,15.184044233807267,0.06650742964631173
w,Network map of SARS-CoV-2 signaling,14.695145259938839,0.06862933346171354
k,Human T-cell leukemia virus 1 infection,14.429617117117116,0.06983977019412652
r,RAC1 GTPase cycle,4.909026112875008,0.06991009192088177
k,cAMP signaling pathway,14.36472346786248,0.07014214332649957
k,Coronavirus disease - COVID-19,14.048793859649123,0.0716525940953936
k,Cytoskeleton in muscle cells,13.865800865800866,0.0725577336576241
k,Ras signaling pathway,13.6875,0.07346202597539173
r:w,"Transport of vitamins, nucleosides, and related molecules",13.179012345679013,0.0761698270590394
w,MAPK signaling,13.071088435374149,0.0767705281023707
k:w,Regulation of actin cytoskeleton,12.606463254593177,0.07946904566754313
r:w,"Glutamate binding, activation of AMPA receptors and synaptic plasticity",12.127367424242424,0.08245851759361726
r,Trafficking of AMPA receptors,12.127367424242424,0.08245851759361726
r,HSF1-dependent transactivation,11.901177199504337,0.08394975631218116
r,G-protein beta:gamma signalling,11.270393192488262,0.08840952529049768
k:r,Long-term potentiation,10.99828178694158,0.09048361052342392
r,RHOU GTPase cycle,10.491530054644809,0.09461819840973666
k,MicroRNAs in cancer,10.288317256162916,0.09638463565618538
r,Generation of second messenger molecules,9.873842592592593,0.10020057327748001
r,G alpha (z) signalling events,9.634914658634537,0.10254114821846431
w,miR-targeted genes in epithelium,9.24337668593449,0.10662309723810555
r,SLC-mediated transmembrane transport,3.7333333333333334,0.1103107602191395
r,Nuclear Envelope Breakdown,8.78422619047619,0.11184513352569292
w,ADHD and autism (ASD) pathways,8.735997267759563,0.11242354762075052
r,Innate Immune System,2.104721475690203,0.1190721352079363
r,Ca2+ pathway,7.019047619047619,0.13780002522402215
r,Activation of NF-kappaB in B cells,6.988147337709701,0.1383622024395399
r:w,Meiotic synapsis,6.942300724637681,0.13920480851360542
r,Regulation of HSF1-mediated heat shock response,6.9120670995671,0.13976610637132403
r,NRAGE signals death through JNK,6.867204301075269,0.14060739439772105
k,Pathways of neurodegeneration - multiple diseases,6.750352360817477,0.14284696942960073
r,Synthesis of substrates in N-glycan biosythesis,6.568672839506172,0.14647433370259128
r,Signaling by WNT,3.114862339603837,0.14708993625134484
r:w,Transcriptional regulation of white adipocyte differentiation,6.370758483033932,0.15064144291346301
w,Cancer pathways,6.294871794871795,0.15230281192599307
k,Pathways in cancer,6.054395951929159,0.15781820725300402
r,Adaptive Immune System,2.0459004981618047,0.159291938570558
r,"Biosynthesis of the N-glycan precursor (dolichol lipid-linked oligosaccharide, LLO) and transfer to a nascent protein",5.72606223818073,0.1660267550155201
r,RSV-host interactions,5.624338624338624,0.16874582865326715
r,PCP/CE pathway,5.55524099883856,0.1706441142008905
r,RAC2 GTPase cycle,5.357703081232493,0.1763140339192752
r,G alpha (12/13) signalling events,5.268457300275482,0.17900089862106902
r,Hemostasis,2.1453302556818183,0.185706583513688
r,Drug ADME,4.954639709694142,0.18913445376930427
r,SLC transporter disorders,4.900833333333333,0.19098801730564902
r,"Cell death signalling via NRAGE, NRIF and NADE",4.870603975535168,0.1920453694874139
r:w,Cellular response to heat stress,4.803921568627451,0.19441956351744427
r:w,"Transport of bile salts and organic acids, metal ions and amine compounds",4.774862568715642,0.19547260969919975
r:w,Signaling by Rho GTPases,2.0659919259626003,0.199525985896991
r,RAC3 GTPase cycle,4.464118747078074,0.20748805395881842
r,"Signaling by Rho GTPases, Miro GTPases and RHOBTB3",2.0137479085331846,0.20934239379175837
r,CLEC7A (Dectin-1) signaling,4.40179806362379,0.21007721540311017
r,Meiosis,4.383436639118457,0.2108523790162291
r:w,Adipogenesis,4.2648011617515635,0.2160015054795343
r,p75 NTR receptor-mediated signalling,4.114381198792583,0.22290168623646925
r,Respiratory Syncytial Virus Infection Pathway,4.050849256900213,0.2259496845266037
r,PPARA activates gene expression,3.9541355721393034,0.23075222275745166
r:w,Mitotic Prophase,3.885747758761206,0.23427261729989596
r:w,Regulation of lipid metabolism by PPARalpha,3.8524242424242425,0.23602700955158462
r:w,Cell junction organization,3.6766493055555554,0.24573106136759576
r,Response to elevated platelet cytosolic Ca2+,3.646766169154229,0.2474602420534552
r,VEGFA-VEGFR2 Pathway,3.584320917983446,0.2511528235075679
r:w,TCR signaling,3.5239548649648538,0.25482800744599765
r:w,Signaling by VEGF,3.3651466949452105,0.2650266351624838
r,RHO GTPase cycle,2.040140145663209,0.27257375785187726
r,Reproduction,3.216573698444895,0.27532920357219876
r,C-type lectin receptors (CLRs),3.0987292277614857,0.2840831025308667
r:w,Factors involved in megakaryocyte development and platelet production,3.00347551342812,0.29157209621934527
r,Cell-Cell communication,2.819085782131196,0.30723729606203465
r,Disorders of transmembrane transporters,2.6222014925373136,0.3259076675991428
r,Death Receptor Signaling,2.5681018142431626,0.33143595617721344
r:w,Cell surface interactions at the vascular wall,2.5181938911022574,0.3367021478351696
k:r,Cellular senescence,2.240027225378788,0.36934977356217796
r,GPCR downstream signalling,1.508239456288986,0.398866430453085
r:w,Neurotransmitter receptors and postsynaptic signal transmission,2.0085088279089556,0.4016408692362621
r:w,Transcriptional regulation by RUNX1,1.9865056818181819,0.4049979022522891
r,Immune System,1.1981268223721027,0.42560812297265416
r,Signaling by GPCR,1.3794933242040397,0.44130999679512617
k:r:w,Cell cycle,1.3365272777623927,0.4568080942091756
r,"Platelet activation, signaling and aggregation",1.644750656167979,0.4650941495730337
r,Immunoregulatory interactions between a Lymphoid and a non-Lymphoid cell,1.6211827122153208,0.46987423592637856
r:w,Asparagine N-linked glycosylation,1.5193756073858116,0.4916443243345275
r,Transmission across Chemical Synapses,1.4830722986869167,0.49987648786633726
r,Transport of small molecules,1.2256137005890164,0.5002161495471407
r,RHO GTPase Effectors,1.468735307945463,0.5031996437870944
r,M Phase,1.1455561714708056,0.5907164123634702
r,Neuronal System,0.9936620474809325,0.6419520980862425
r:w,Neutrophil degranulation,0.8725692468222349,0.6884838945317919
r,"Cell Cycle, Mitotic",0.834185296255907,0.7043763578128395
r,Signaling by Receptor Tyrosine Kinases,0.764310503428667,0.7347664268000869
r,Metabolism of lipids,0.5939932067009629,0.8163906719291733
r,Cellular responses to stress,0.5542570951585977,0.8366947401404394
r,Cellular responses to stimuli,0.547913990334618,0.8399643431747679
r,Signal Transduction,0.6296201750747206,0.8653836272358474
r,Viral Infection Pathways,0.47641509433962265,0.8770617007927978
r,Infectious disease,0.3760999133073255,0.9276756010940121
r,Disease,0.41507333192258233,0.9462980201593836
r:w,Generic Transcription Pathway,0.32298997351494513,0.9518384991655733
r,Developmental Biology,0.3090565866084425,0.9576432099808027
r,Post-translational protein modification,0.3074178709840994,0.9583082011245683
r:w,RNA Polymerase II Transcription,0.2941009963768116,0.9635632821187613
r,Gene expression (Transcription),0.2553311146035561,0.9771493636131812
r,Metabolism of proteins,0.20193547164088566,0.9908061859724032
r,Metabolism,0.1917411362975879,0.9926679658916691
w,10q11.21q11.23 copy number variation syndrome,0.0,1.0
w,10q22q23 copy number variation,0.0,1.0
w,13q12.12 copy number variation,0.0,1.0
w,13q12 or CRYL1 copy number variation ,0.0,1.0
w,15q11.2 copy number variation syndrome,0.0,1.0
w,15q11q13 copy number variation,0.0,1.0
w,15q13.3 copy number variation syndrome,0.0,1.0
w,15q24 copy number variation,0.0,1.0
w,16p11.2 proximal deletion syndrome,0.0,1.0
w,17p13.3 (YWHAE) copy number variation,0.0,1.0
w,17q12 copy number variation syndrome,0.0,1.0
w,1p36 copy number variation syndrome,0.0,1.0
w,1q21.1 copy number variation syndrome,0.0,1.0
w,22q11.2 copy number variation syndrome,0.0,1.0
r,2-LTR circle formation,0.0,1.0
w,2q11.2 copy number variation syndrome,0.0,1.0
w,2q13 copy number variation syndrome,0.0,1.0
w,2q21.1 copy number variation syndrome,0.0,1.0
w,2q37 copy number variation syndrome,0.0,1.0
w,3q29 copy number variation syndrome,0.0,1.0
w,"4-hydroxytamoxifen, dexamethasone, and retinoic acids regulation of p27 expression",0.0,1.0
w,4p16.3 copy number variation,0.0,1.0
r,5-Phosphoribose 1-diphosphate biosynthesis,0.0,1.0
w,5q35 copy number variation,0.0,1.0
w,6q16 copy number variation,0.0,1.0
w,7-oxo-C and 7-beta-HC pathways,0.0,1.0
w,7q11.23 distal copy number variation,0.0,1.0
w,8p23.1 copy number variation syndrome,0.0,1.0
w,8q11.23 (RB1CC1) copy number variation,0.0,1.0
r,Abacavir ADME,0.0,1.0
r,Abacavir metabolism,0.0,1.0
r,Abacavir transmembrane transport,0.0,1.0
w,Abacavir transport and metabolism,0.0,1.0
r,Abasic sugar-phosphate removal via the single-nucleotide replacement pathway,0.0,1.0
r:w,ABC-family proteins mediated transport,0.0,1.0
r,ABC transporter disorders,0.0,1.0
k,ABC transporters,0.0,1.0
r,ABC transporters in lipid homeostasis,0.0,1.0
r,Aberrant regulation of mitotic cell cycle due to RB1 defects,0.0,1.0
r,Aberrant regulation of mitotic exit in cancer due to RB1 defects,0.0,1.0
r,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects,0.0,1.0
r:w,Abnormal conversion of 2-oxoglutarate to 2-hydroxyglutarate,0.0,1.0
r,ABO blood group biosynthesis,0.0,1.0
r,Abortive elongation of HIV-1 transcript in the absence of Tat,0.0,1.0
w,ACE inhibitor pathway,0.0,1.0
w,ACE inhibitor pathway - for workshop,0.0,1.0
w,Acetaminophen in analgesia and antipyresis,0.0,1.0
r,Acetylation,0.0,1.0
r:w,Acetylcholine binding and downstream events,0.0,1.0
r,Acetylcholine inhibits contraction of outer hair cells,0.0,1.0
r,Acetylcholine Neurotransmitter Release Cycle,0.0,1.0
r,Acetylcholine regulates insulin secretion,0.0,1.0
w,Acetylcholine synthesis,0.0,1.0
w,Acquired partial lipodystrophy / Barraquer-Simons syndrome,0.0,1.0
r,Acrosome Reaction and Sperm:Oocyte Membrane Binding,0.0,1.0
w,Acrylamide biotransformation and exposure biomarkers,0.0,1.0
r,Activated NOTCH1 Transmits Signal to the Nucleus,0.0,1.0
r,Activated NTRK2 signals through CDK5,0.0,1.0
r,Activated NTRK2 signals through FRS2 and FRS3,0.0,1.0
r,Activated NTRK2 signals through FYN,0.0,1.0
r,Activated NTRK2 signals through PI3K,0.0,1.0
r,Activated NTRK2 signals through PLCG1,0.0,1.0
r,Activated NTRK2 signals through RAS,0.0,1.0
r,Activated NTRK3 signals through PI3K,0.0,1.0
r,Activated NTRK3 signals through PLCG1,0.0,1.0
r,Activated NTRK3 signals through RAS,0.0,1.0
r,Activated PKN1 stimulates transcription of AR (androgen receptor) regulated genes KLK2 and KLK3,0.0,1.0
w,Activated PKN1 stimulates transcription of AR-regulated genes KLK2 and KLK3,0.0,1.0
r,Activated point mutants of FGFR2,0.0,1.0
r,activated TAK1 mediates p38 MAPK activation,0.0,1.0
r,Activation and oligomerization of BAK protein,0.0,1.0
r,"Activation, myristolyation of BID and translocation to mitochondria",0.0,1.0
r,Activation of AKT2,0.0,1.0
r,Activation of AMPA receptors,0.0,1.0
r,Activation of AMPK downstream of NMDARs,0.0,1.0
r:w,Activation of anterior HOX genes in hindbrain development during early embryogenesis,0.0,1.0
r,Activation of APC/C and APC/C:Cdc20 mediated degradation of mitotic proteins,0.0,1.0
r,Activation of ATR in response to replication stress,0.0,1.0
r,Activation of BAD and translocation to mitochondria ,0.0,1.0
r,Activation of BH3-only proteins,0.0,1.0
r,Activation of BIM and translocation to mitochondria ,0.0,1.0
r,Activation of BMF and translocation to mitochondria,0.0,1.0
r,Activation of C3 and C5,0.0,1.0
r,Activation of Ca-permeable Kainate Receptor,0.0,1.0
r,Activation of caspases through apoptosome-mediated cleavage,0.0,1.0
r,Activation of GABAB receptors,0.0,1.0
r:w,Activation of gene expression by SREBF (SREBP),0.0,1.0
r,Activation of G protein gated Potassium channels,0.0,1.0
r,Activation of HOX genes during differentiation,0.0,1.0
r,"Activation of IRF3, IRF7 mediated by TBK1, IKKε (IKBKE)",0.0,1.0
r:w,Activation of kainate receptors upon glutamate binding,0.0,1.0
r:w,Activation of Matrix Metalloproteinases,0.0,1.0
r,Activation of Na-permeable kainate receptors,0.0,1.0
r,"Activation of NIMA Kinases NEK9, NEK6, NEK7",0.0,1.0
w,Activation of NLRP3 inflammasome by SARS-CoV-2,0.0,1.0
r,Activation of NMDA receptors and postsynaptic events,0.0,1.0
r,Activation of NOXA and translocation to mitochondria,0.0,1.0
r,Activation of PPARGC1A (PGC-1alpha) by phosphorylation,0.0,1.0
r,Activation of PUMA and translocation to mitochondria,0.0,1.0
r,Activation of RAC1,0.0,1.0
r,Activation of RAC1 downstream of NMDARs,0.0,1.0
r,Activation of RAS in B cells,0.0,1.0
r,Activation of SMO,0.0,1.0
r,Activation of the AP-1 family of transcription factors,0.0,1.0
r,"Activation of the mRNA upon binding of the cap-binding complex and eIFs, and subsequent binding to 43S",0.0,1.0
r,Activation of the phototransduction cascade,0.0,1.0
r,Activation of the pre-replicative complex,0.0,1.0
r,Activation of the TFAP2 (AP-2) family of transcription factors,0.0,1.0
r,Activation of TRKA receptors,0.0,1.0
r,"Activation, translocation and oligomerization of BAX",0.0,1.0
k:w,Acute myeloid leukemia,0.0,1.0
w,Acute viral myocarditis,0.0,1.0
r,Acyl chain remodeling of CL,0.0,1.0
r,Acyl chain remodeling of DAG and TAG,0.0,1.0
r,Acyl chain remodelling of PC,0.0,1.0
r,Acyl chain remodelling of PE,0.0,1.0
r,Acyl chain remodelling of PG,0.0,1.0
r,Acyl chain remodelling of PI,0.0,1.0
r,Acyl chain remodelling of PS,0.0,1.0
r,Adenosine P1 receptors,0.0,1.0
r,Adenylate cyclase activating pathway,0.0,1.0
r,Adenylate cyclase inhibitory pathway,0.0,1.0
k,Adherens junction,0.0,1.0
r,Adherens junctions interactions,0.0,1.0
k,Adipocytokine signaling pathway,0.0,1.0
r,ADORA2B mediated anti-inflammatory cytokines production,0.0,1.0
r,ADP signalling through P2Y purinoceptor 1,0.0,1.0
r,ADP signalling through P2Y purinoceptor 12,0.0,1.0
r,"Adrenaline,noradrenaline inhibits insulin secretion",0.0,1.0
r,Adrenaline signalling through Alpha-2 adrenergic receptor,0.0,1.0
k,Adrenergic signaling in cardiomyocytes,0.0,1.0
r,Adrenoceptors,0.0,1.0
r:w,Advanced glycosylation endproduct receptor signaling,0.0,1.0
w,Aerobic glycolysis,0.0,1.0
w,Aerobic glycolysis - augmented,0.0,1.0
r,Aerobic respiration and respiratory electron transport,0.0,1.0
w,Affected pathways in Duchenne muscular dystrophy,0.0,1.0
r:w,Aflatoxin activation and detoxification,0.0,1.0
w,Aflatoxin B1 metabolism,0.0,1.0
r:w,Aggrephagy,0.0,1.0
r,Agmatine biosynthesis,0.0,1.0
w,Airway smooth muscle cell contraction,0.0,1.0
r,AKT-mediated inactivation of FOXO1A,0.0,1.0
r,AKT phosphorylates targets in the cytosol,0.0,1.0
r,AKT phosphorylates targets in the nucleus,0.0,1.0
w,Alanine and aspartate metabolism,0.0,1.0
k,"Alanine, aspartate and glutamate metabolism",0.0,1.0
r:w,Alanine metabolism,0.0,1.0
